Destination,Budget,Type,Season,Rating,Duration,State,Description,Lat,Lon
Goa,15000,Beach,Winter,4.5,5,Goa,Sun-kissed beaches with vibrant nightlife and Portuguese heritage,15.2993,74.1240
Manali,12000,Adventure,Summer,4.7,6,Himachal Pradesh,Snow-capped mountains with thrilling treks and river rafting,32.2396,77.1887
Kerala,18000,Nature,Winter,4.8,7,Kerala,God's Own Country with serene backwaters and lush greenery,10.8505,76.2711
Rajasthan,20000,Cultural,Winter,4.6,8,Rajasthan,Royal palaces and golden deserts with rich Rajput heritage,27.0238,74.2179
Andaman Islands,35000,Beach,Summer,4.9,7,Andaman & Nicobar,Crystal clear waters with world-class snorkeling and diving,11.7401,92.6586
Shimla,10000,Adventure,Summer,4.4,4,Himachal Pradesh,Queen of Hills with colonial charm and apple orchards,31.1048,77.1734
Ooty,8000,Nature,Summer,4.3,3,Tamil Nadu,Nilgiri hills with toy train rides and tea gardens,11.4102,76.6950
Varanasi,9000,Cultural,Winter,4.5,4,Uttar Pradesh,Oldest living city with sacred ghats and spiritual vibes,25.3176,82.9739
Coorg,11000,Nature,Monsoon,4.6,3,Karnataka,Scotland of India with coffee plantations and misty hills,12.3375,75.8069
Leh Ladakh,25000,Adventure,Summer,4.9,8,Ladakh,Breathtaking high-altitude desert with monasteries and pangong lake,34.1526,77.5771
Rishikesh,7000,Adventure,Summer,4.5,4,Uttarakhand,Yoga capital of the world with white water rafting,30.0869,78.2676
Mysore,9000,Cultural,Winter,4.4,3,Karnataka,City of palaces with Dasara festival and sandalwood,12.2958,76.6394
Darjeeling,13000,Nature,Summer,4.6,5,West Bengal,Tea capital with Himalayan views and toy train heritage,27.0360,88.2627
Agra,10000,Cultural,Winter,4.3,2,Uttar Pradesh,Home of Taj Mahal and Mughal architectural wonders,27.1767,78.0081
Jaipur,14000,Cultural,Winter,4.7,4,Rajasthan,Pink City with magnificent forts and colorful bazaars,26.9124,75.7873
Mumbai,20000,City,Winter,4.2,3,Maharashtra,City of dreams with Bollywood glamour and street food,19.0760,72.8777
Delhi,15000,City,Winter,4.1,3,Delhi,Capital city with historical monuments and diverse cuisine,28.6139,77.2090
Kolkata,12000,Cultural,Winter,4.3,3,West Bengal,City of Joy with colonial architecture and art scene,22.5726,88.3639
Hampi,8000,Cultural,Winter,4.8,3,Karnataka,UNESCO heritage site with stunning Vijayanagara ruins,15.3350,76.4600
Puducherry,11000,Beach,Winter,4.5,4,Puducherry,French Riviera of India with serene beaches and cafes,11.9416,79.8083
Munnar,14000,Nature,Monsoon,4.7,4,Kerala,Rolling tea gardens with misty mountains and wildlife,10.0889,77.0595
Spiti Valley,22000,Adventure,Summer,4.8,7,Himachal Pradesh,Cold desert with ancient monasteries and dramatic landscapes,32.2461,78.0338
Udaipur,16000,Cultural,Winter,4.8,5,Rajasthan,City of Lakes with fairy-tale palaces and romantic sunsets,24.5854,73.7125
Kodaikanal,9000,Nature,Summer,4.4,3,Tamil Nadu,Princess of Hill stations with star-shaped lake and pine forests,10.2381,77.4892
Varkala,13000,Beach,Winter,4.6,4,Kerala,Cliff-top beach with ayurvedic treatments and natural spring,8.7379,76.7164
Sikkim,18000,Nature,Summer,4.7,6,Sikkim,Buddhist kingdom with Kanchenjunga views and rhododendrons,27.5330,88.5122
Pushkar,10000,Cultural,Winter,4.5,3,Rajasthan,Holy city with sacred lake and famous camel fair,26.4898,74.5510
Jim Corbett,17000,Wildlife,Winter,4.6,4,Uttarakhand,India's oldest national park with Bengal tigers,29.5300,78.7747
Ranthambore,19000,Wildlife,Winter,4.7,4,Rajasthan,Best place to spot wild tigers in their natural habitat,26.0173,76.5026
Kaziranga,21000,Wildlife,Summer,4.8,5,Assam,UNESCO site famous for one-horned rhinoceros,26.5775,93.1709
Mahabaleshwar,10000,Nature,Monsoon,4.4,3,Maharashtra,Strawberry capital with panoramic valley views,17.9231,73.6584
Alibaug,8000,Beach,Winter,4.2,2,Maharashtra,Peaceful beach town near Mumbai with historic forts,18.6414,72.8722
Diu,12000,Beach,Summer,4.3,3,Diu,Portuguese influenced island with pristine beaches,20.7144,70.9874
Bikaner,11000,Cultural,Winter,4.4,3,Rajasthan,Camel country with magnificent Junagarh Fort,28.0229,73.3119
Amritsar,9000,Cultural,Winter,4.7,3,Punjab,Golden Temple and Wagah border ceremony,31.6340,74.8723
Haridwar,7000,Cultural,Summer,4.4,2,Uttarakhand,Gateway to Gods with Ganga Aarti and ashrams,29.9457,78.1642
Auli,20000,Adventure,Winter,4.8,5,Uttarakhand,India's premier ski resort with Himalayan panorama,30.5282,79.5637
Chopta,14000,Adventure,Winter,4.7,4,Uttarakhand,Mini Switzerland of India with Tungnath trek,30.4024,79.2066
Valley of Flowers,23000,Nature,Monsoon,4.9,6,Uttarakhand,UNESCO site blooming with alpine flowers,30.7283,79.6052
